feature,kind,cardinality,description,fulldisplayname
3t_dmri_compl,book_keeping,bin,"Full 3T diffusion MRI protocol complete, all scans, all directions (True or False)",3T Diffusion MRI Completed
3t_dmri_pctcompl,book_keeping,reg,Percentage of 3T Diffusion MRI Protocol Complete,3T Diffusion MRI Percent Complete
3t_full_mr_compl,book_keeping,bin,"Full HCP 3T MRI protocol was completed, all scans, all timepoints (True or False)",Full 3T Imaging Protocol Completed
3t_full_task_fmri,book_keeping,bin,"Full 3T task fMRI protocol was completed, all scans, all timepoints (True or False)",Full 3T Task fMRI Protocol Completed
3t_rs-fmri_count,book_keeping,ord,Number of 3T resting state scans collected,3T Resting State fMRI Count
3t_rs-fmri_pctcompl,book_keeping,reg,Percentage of 3T Resting State fMRI Scans Complete (100%=4800 timepoints),3T Resting State fMRI Percent Complete
3t_tmri_pctcompl,book_keeping,reg,Percentage of 3T Task fMRI Protocol Complete (Over all tasks),3T Task fMRI Percent Complete (Over all tasks)
7t_dmri_compl,book_keeping,bin,Full 7T diffusion MRI protocol complete (True or False),7T Diffusion MRI Completed
7t_dmri_pctcompl,book_keeping,reg,Percentage of 7T diffusion MRI protocol complete,7T Diffusion MRI Percent Complete
7t_fmri_mov_vrs,book_keeping,cat,"Version of Movie stimuli displayed to subject. 1 is earlier version, 2 is improved version implemented mid-collection. In the first version (1) , the validation clip at the end of each run was not synched to be at a consistent time relative to the TR. In the second version (2), we shifted the final 80 seconds of each 15 minute movie by 0-200ms, depending on the movie to ensure the validation clip at the end of each run started at a consistent time relative to the TR and that all the movies end exactly on the TR (second).",7T MR fMRI Movie Task Version
7t_full_mr_compl,book_keeping,bin,"Full HCP 7T MRI protocol was completed, all scans, all timepoints (True or False)",Full 7T Imaging Protocol Completed
7t_full_task_fmri,book_keeping,bin,"Full 7T task fMRI protocol was completed, all scans, all timepoints (True or False)",Full 7T Task fMRI Protocol Completed
7t_rs-fmri_count,book_keeping,ord,Number of 7T resting state scans collected,7T Resting State fMRI Count
7t_rs-fmri_pctcompl,book_keeping,reg,Percentage of 7T Resting State fMRI Scans Complete (100%= all timepoints),7T Resting State fMRI Percent Complete
