fullDisplayName,category,assessment,columnHeader,description
ASR Aggressive Behavior Gender and Age Adjusted T-score (ASR_Aggr_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Aggr_T,ASR Aggressive Behavior (scale VI) Gender and Age Adjusted T-score
ASR Anxious/Depressed Gender and Age Adjusted T-score (ASR_Anxd_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Anxd_T,ASR Anxious/Depressed (scale I) Gender and Age Adjusted T-score
ASR Attention Problems Gender and Age Adjusted T-score (ASR_Attn_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Attn_T,ASR Attention Problems (scale V) Gender and Age Adjusted T-score
ASR Externalizing Gender and Age Adjusted T-score (ASR_Computed_Externalizing_Adjusted_T) (ASR_Extn_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Extn_T,ASR Externalizing (scales VI-VIII) Gender and Age Adjusted T-score
ASR Internalizing Gender and Age Adjusted T-score (ASR_Intn_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Intn_T,ASR Internalizing (scales I-III) Gender and Age Adjusted T-score
ASR Intrusive Gender and Age Adjusted T-score (ASR_Intr_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Intr_T,ASR Intrusive (scale VIII) Gender and Age Adjusted T-score
ASR Rule Breaking Behavior Gender and Age Adjusted T-score (ASR_Rule_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Rule_T,ASR Rule Breaking Behavior (scale VII) Gender and Age Adjusted T-score
ASR Somatic Complaints Gender and Age Adjusted T-score (ASR_Soma_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Soma_T,ASR Somatic Complaints (scale III) Gender and Age Adjusted T-score
ASR Thought Problems Gender and Age Adjusted T-score (ASR_Thot_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Thot_T,ASR Thought Problems (scale IV) Gender and Age Adjusted T-score
ASR Total Problems Gender and Age Adjusted T-score (ASR_Totp_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Totp_T,ASR Total (all questions) Gender and Age Adjusted T-score
ASR Withdrawn Gender and Age Adjusted T-score (ASR_Witd_T),Psychiatric and Life Function,"Life Function (Achenbach Adult Self-Report, Syndrome Scales and DSM-Oriented Scale)",ASR_Witd_T,ASR Withdrawn (scale II) Gender and Age Adjusted T-score
NIH Toolbox Dimensional Change Card Sort Test: Age-Adjusted Scale Score,Cognition,Executive Function/Cognitive Flexibility (Dimensional Change Card Sort),CardSort_AgeAdj,"The Dimensional Change Card Sort Test is a measure of executive function, specifically tapping cognitive flexibility for ages 3-85. DCCS is considered a 'fluid ability' measure, with performance generally increasing through childhood and then declining across the adult age span. Target pictures are presented that vary along two dimensions (e.g., shape and color). Participants are asked to match a series of bivalent test pictures (e.g., yellow balls and blue trucks) to the target pictures, first according to one dimension (e.g., color) and then, after a number of trials, according to the other dimension (e.g., shape). Switch trials are also employed, in which the participant must change the dimension being matched, thus requiring the cognitive flexibility to quickly choose the correct stimulus. Scoring is based on a combination of accuracy and reaction time. Age-Adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band. "
NIH Toolbox Cognition Crystallized Composite: Age Adjusted Scale Score,Cognition,Cognition Crystallized Composite,CogCrystalComp_AgeAdj,"The Crystallized Cognition Composite score is derived by averaging the normalized scores of each of the Toolbox tests that are crystallized measures (Picture Vocabulary and Reading Tests), then deriving scale scores based on this new distribution. One can interpret the Crystallized Cognition Composite as a more global assessment of individual and group verbal reasoning. Higher scores indicate higher levels of functioning. Age-adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band."
NIH Toolbox Cognition Early Childhood Composite: Age Adjusted Scale Score,Cognition,Cognition Early Childhood Composite,CogEarlyComp_AgeAdj,"The Early Childhood Composite score is derived by averaging the normalized scores of each of the four Toolbox cognition measures that comprise the Early Childhood Battery (Picture Vocabulary, Flanker, DCCS and Picture Sequence Memory), then deriving scale scores based on this new distribution. The Early Childhood Composite Score can be interpreted much like the Cognitive Function Composite and it provides a highly reliable overall snapshot of general cognitive functioning. Higher scores indicate higher levels of functioning. Age-adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band."
NIH Toolbox Cognition Fluid Composite: Age Adjusted Scale Score,Cognition,Cognition Fluid Composite,CogFluidComp_AgeAdj,"The Fluid Cognition Composite score is derived by averaging the normalized scores of each of the Toolbox tests that are fluid ability measures (Flanker, Dimensional Change Card Sort, Picture Sequence Memory, List Sorting and Pattern Comparison), then deriving scale scores based on this new distribution. One can interpret the Fluid Cognition Composite as a more global assessment of individual and group fluid cognition functioning. Higher scores indicate higher levels of functioning. Age-adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band."
NIH Toolbox Cognition Total Composite Score: Age Adjusted Scale Score,Cognition,Cognition Total Composite Score,CogTotalComp_AgeAdj,"The Cognitive Function Composite score is derived by averaging the normalized scores of each of the Fluid and Crystallized cognition measures, then deriving scale scores based on this new distribution. Higher scores indicate higher levels of cognitive functioning. Age-adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band."
Delay Discounting: Area Under the Curve for Discounting of $200 (DDisc_AUC_200),Cognition,Self-regulation/Impulsivity (Delay Discounting),DDisc_AUC_200,"Delay Discounting: Area Under the Curve (AUC) for Discounting of $200. A summary measure of Delay Discounting, the AUC discounting measure provides an index of how steeply the participant discounts a delayed reward of $200 (Myerson et al. 2001). Delay discounting describes the undervaluing of rewards that are delayed in time. It is illustrated by the fact that humans (and other animals) will often choose a smaller immediate reward over an objectively larger, but delayed reward. "
"Delay Discounting: Area Under the Curve for Discounting of $40,000 (DDisc_AUC_40K)",Cognition,Self-regulation/Impulsivity (Delay Discounting),DDisc_AUC_40K,"Delay Discounting: Area Under the Curve (AUC) for Discounting of $40,000. A summary measure of Delay Discounting, the AUC discounting measure provides an index of how steeply the participant discounts a delayed reward of $40,000 (Myerson et al. 2001). Delay discounting describes the undervaluing of rewards that are delayed in time. It is illustrated by the fact that humans (and other animals) will often choose a smaller immediate reward over an objectively larger, but delayed reward."
